nameWithOwner,stargazerCount,forkCount,url,createdAt,releaseCount
zhihu/Matisse,12548,2063,https://github.com/zhihu/Matisse,2017-04-13T01:31:05Z,
Netflix/eureka,12511,3763,https://github.com/Netflix/eureka,2012-07-26T22:23:07Z,
codecentric/spring-boot-admin,12510,3081,https://github.com/codecentric/spring-boot-admin,2014-07-25T11:39:13Z,
daimajia/AndroidViewAnimations,12451,2424,https://github.com/daimajia/AndroidViewAnimations,2014-06-23T03:53:13Z,
apache/zookeeper,12418,7269,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,
daimajia/AndroidSwipeLayout,12400,2669,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,
alibaba/COLA,12298,3140,https://github.com/alibaba/COLA,2018-02-06T13:46:27Z,
pagehelper/Mybatis-PageHelper,12282,3135,https://github.com/pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,
macrozheng/mall-swarm,12211,5355,https://github.com/macrozheng/mall-swarm,2019-11-25T06:55:31Z,
kekingcn/kkFileView,12035,2891,https://github.com/kekingcn/kkFileView,2017-12-12T11:41:08Z,
redis/jedis,11998,3884,https://github.com/redis/jedis,2010-06-11T13:04:43Z,
Yalantis/uCrop,11960,2190,https://github.com/Yalantis/uCrop,2016-01-05T13:41:06Z,
metersphere/metersphere,11910,2648,https://github.com/metersphere/metersphere,2020-02-03T02:06:12Z,
Tencent/VasSonic,11851,1616,https://github.com/Tencent/VasSonic,2017-08-01T08:35:13Z,
Tencent/matrix,11768,1893,https://github.com/Tencent/matrix,2018-12-11T07:08:02Z,
amitshekhariitbhu/android-interview-questions,11728,2298,https://github.com/amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,
grpc/grpc-java,11651,3887,https://github.com/grpc/grpc-java,2014-12-08T19:00:00Z,
frank-lam/fullstack-tutorial,11631,2441,https://github.com/frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,
code4craft/webmagic,11524,4175,https://github.com/code4craft/webmagic,2013-04-23T12:57:36Z,
realm/realm-java,11483,1754,https://github.com/realm/realm-java,2012-04-20T09:18:42Z,
careercup/CtCI-6th-Edition,11402,4419,https://github.com/careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,
gyf-dev/ImmersionBar,11376,1903,https://github.com/gyf-dev/ImmersionBar,2017-04-19T05:10:09Z,
Team-xManager/xManager,11302,306,https://github.com/Team-xManager/xManager,2021-02-08T11:31:10Z,
newbee-ltd/newbee-mall,11267,2728,https://github.com/newbee-ltd/newbee-mall,2019-09-21T03:56:04Z,
permissions-dispatcher/PermissionsDispatcher,11228,1438,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,
OpenRefine/OpenRefine,11213,2034,https://github.com/OpenRefine/OpenRefine,2012-10-15T02:22:48Z,
debezium/debezium,11210,2624,https://github.com/debezium/debezium,2016-01-22T20:17:05Z,
plantuml/plantuml,11163,1018,https://github.com/plantuml/plantuml,2010-11-04T15:55:50Z,
mission-peace/interview,11140,5173,https://github.com/mission-peace/interview,2014-07-20T21:27:31Z,
H07000223/FlycoTabLayout,11091,2415,https://github.com/H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,
jhy/jsoup,11086,2222,https://github.com/jhy/jsoup,2009-12-19T01:29:58Z,
lingochamp/FileDownloader,11079,2208,https://github.com/lingochamp/FileDownloader,2015-12-22T11:17:16Z,
jfeinstein10/SlidingMenu,11061,5026,https://github.com/jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,
androidannotations/androidannotations,11043,2343,https://github.com/androidannotations/androidannotations,2012-01-06T08:48:03Z,
apereo/cas,11042,3949,https://github.com/apereo/cas,2011-09-09T01:36:42Z,
daniulive/SmarterStreaming,11028,2762,https://github.com/daniulive/SmarterStreaming,2016-03-26T14:46:02Z,
trinodb/trino,11020,3140,https://github.com/trinodb/trino,2019-01-19T06:38:14Z,
square/javapoet,10857,1387,https://github.com/square/javapoet,2013-02-01T16:56:30Z,
alibaba/vlayout,10790,1792,https://github.com/alibaba/vlayout,2017-02-27T08:11:47Z,
aosp-mirror/platform_frameworks_base,10708,6321,https://github.com/aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,
doocs/jvm,10671,2290,https://github.com/doocs/jvm,2018-06-23T01:12:59Z,
PaperMC/Paper,10661,2469,https://github.com/PaperMC/Paper,2016-01-22T05:40:19Z,
android-async-http/android-async-http,10632,4084,https://github.com/android-async-http/android-async-http,2011-02-20T03:25:07Z,
TooTallNate/Java-WebSocket,10625,2591,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,
jeasonlzy/okhttp-OkGo,10611,2554,https://github.com/jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,
clojure/clojure,10576,1469,https://github.com/clojure/clojure,2010-06-29T20:03:33Z,
jwtk/jjwt,10548,1348,https://github.com/jwtk/jjwt,2014-09-13T01:06:24Z,
apple/pkl,10541,297,https://github.com/apple/pkl,2024-01-19T17:28:45Z,
google/auto,10488,1204,https://github.com/google/auto,2013-05-22T21:41:56Z,
provectus/kafka-ui,10488,1255,https://github.com/provectus/kafka-ui,2019-11-26T15:55:55Z,
lipangit/JiaoZiVideoPlayer,10487,2426,https://github.com/lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,
tbruyelle/RxPermissions,10483,1321,https://github.com/tbruyelle/RxPermissions,2015-09-29T13:55:09Z,
asLody/VirtualApp,10457,2937,https://github.com/asLody/VirtualApp,2016-07-06T13:25:23Z,
datahub-project/datahub,10443,3070,https://github.com/datahub-project/datahub,2015-11-18T05:47:40Z,
opensearch-project/OpenSearch,10388,1967,https://github.com/opensearch-project/OpenSearch,2021-01-29T22:10:00Z,
JessYanCoding/MVPArms,10283,2384,https://github.com/JessYanCoding/MVPArms,2016-08-06T08:49:56Z,
Activiti/Activiti,10271,6968,https://github.com/Activiti/Activiti,2012-09-13T11:34:43Z,
JakeWharton/ViewPagerIndicator,10120,4001,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,
resilience4j/resilience4j,10049,1381,https://github.com/resilience4j/resilience4j,2015-06-03T09:21:01Z,
LawnchairLauncher/lawnchair,10003,1273,https://github.com/LawnchairLauncher/lawnchair,2017-03-03T13:12:58Z,
beemdevelopment/Aegis,9980,418,https://github.com/beemdevelopment/Aegis,2016-08-15T19:10:31Z,
xpipe-io/xpipe,9966,350,https://github.com/xpipe-io/xpipe,2023-01-27T02:25:38Z,
